model,scope,chain,parameter,rows,weight_sum,effective_sample_size,weighted_mean_eV,weighted_sd_eV,weighted_q50_eV,weighted_q95_eV,minimum_eV,maximum_eV
base_mnu,single_chain,chain.1.txt,mnu,22124,66289.0,12979.602719251867,0.024477818143086277,0.02082570836734129,0.018887285857142857,0.06622975746666666,5.5856254e-07,0.14592726
base_mnu,single_chain,chain.2.txt,mnu,22503,67750.0,13290.66047023396,0.02502094511214798,0.0209588377463315,0.019638416333333332,0.06702420839999997,1.1477308e-07,0.15569995
base_mnu,single_chain,chain.3.txt,mnu,21840,66384.0,12873.288042906719,0.024008073366741052,0.020330207349518348,0.01876166,0.064414134375,1.0114586e-05,0.15606072
base_mnu,single_chain,chain.4.txt,mnu,22208,67777.0,12975.918606063517,0.02327478609373126,0.019846132505820818,0.018129398555555558,0.061907438942857135,5.6079657e-06,0.14398586
base_mnu059,single_chain,chain.1.txt,mnu,18760,57596.0,10858.376647267156,0.07507725173135288,0.015252288207965507,0.0705043908,0.10557806399999997,0.05900953,0.17429595
base_mnu059,single_chain,chain.2.txt,mnu,18862,57956.0,11097.851517534411,0.07501493347915661,0.014614094499195504,0.070889236,0.10469206799999997,0.059003246,0.16271473
base_mnu059,single_chain,chain.3.txt,mnu,19069,58636.0,11137.827414850954,0.07496831006011666,0.014769349780676904,0.070717267,0.10466968,0.059000411,0.18383392
base_mnu059,single_chain,chain.4.txt,mnu,19110,59133.0,11057.180452126398,0.07504363844914007,0.01512187541221122,0.070600656,0.1046772184,0.059000992,0.18363614
base_mnu_w_wa,single_chain,chain.1.txt,mnu,45863,134990.0,27086.368298382156,0.07240122314237461,0.049295713339196794,0.064923119,0.16471151,1.3782688e-05,0.28570387
base_mnu_w_wa,single_chain,chain.2.txt,mnu,45720,134701.0,27140.0719487843,0.07272877329342324,0.04906222619929881,0.065371137,0.16334207549999985,7.1176524e-06,0.27513574
base_mnu_w_wa,single_chain,chain.3.txt,mnu,46179,135653.0,27483.69640102098,0.07296989543098274,0.049360610329410116,0.06658054166666667,0.16442823962499997,1.7409162e-05,0.30489755
base_mnu_w_wa,single_chain,chain.4.txt,mnu,46197,135277.0,27348.46037358568,0.07249722864395715,0.048878501611045705,0.065798953,0.16272023,1.1601001e-05,0.31477967
