prescription,q_i,delta_v_i,r_i,gamma_ew,max_r_phi_over_r,r_phi_over_r_bbn,r_phi_over_r_eq,entropy_gain_bbn
constant_width,0.0199,0.01,0.000203528874612,3.70798762917e-06,0.0625217413232,0,0,0.0977919410096
constant_width,0.1,0.0513167019495,0.000981385036802,8.54798452884e-05,0.0627848673245,0,0,0.0982071352093
constant_width,0.5,0.292893218813,0.00387388830316,0.00130085370109,0.0635499056159,0,0,0.0994133167584
constant_width,0.9,0.683772233983,0.00511353256018,0.0022631295684,0.0636275946533,0,0,0.0995340595218
thermal,0.0199,0.01,0.000203528874612,0.00150784504586,0.0480698487743,1.28939229094e-107,0,0.0997641318438
thermal,0.1,0.0513167019495,0.000981385036802,0.00737454909026,0.0476840585509,0,0,0.0989467397747
thermal,0.5,0.292893218813,0.00387388830316,0.0299884423123,0.0473593539655,0,0,0.098215945343
thermal,0.9,0.683772233983,0.00511353256018,0.0402912202795,0.0470239131082,0,0,0.0974704422398
constant_ratio,0.0199,0.01,0.000203528874612,0.850863158264,0.00936818700513,0.00120910585679,0.00936818700513,0.00432956882579
constant_ratio,0.1,0.0513167019495,0.000981385036802,0.911842519615,0.00893836083772,0.00277101546156,0.00893836083772,0.01425893463
constant_ratio,0.5,0.292893218813,0.00387388830316,0.963757866384,0.00857360750197,0.00566605952977,0.00857360750197,0.0417957985641
constant_ratio,0.9,0.683772233983,0.00511353256018,0.977192128372,0.00786657665451,0.00628956631768,0.00786657665451,0.0512960777499
phi2,0.0199,0.01,0.000203528874612,4085285803.93,0.00997320342387,7.97734345493e-09,0.00997320342387,0.000152642773988
phi2,0.1,0.0513167019495,0.000981385036802,20541173483.5,0.00955669342132,7.64418637375e-09,0.00955669342132,0.00073594852353
phi2,0.5,0.292893218813,0.00387388830316,78304654043,0.00986733413839,7.89266096971e-09,0.00986733413839,0.00290401158741
phi2,0.9,0.683772233983,0.00511353256018,103282812594,0.00988579175772,7.90742469345e-09,0.00988579175772,0.00383270323433
